symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 14:08:00+00:00,237.1396,237.538,237.1,237.5242,447735.0,6323.0,237.320292
TSLA,2023-08-14 14:09:00+00:00,237.54,237.7,237.25,237.2901,383142.0,6418.0,237.455328
TSLA,2023-08-14 14:10:00+00:00,237.32,237.49,236.9028,236.9764,349143.0,6323.0,237.169026
TSLA,2023-08-14 14:11:00+00:00,236.955,237.2999,236.92,237.2501,256558.0,4763.0,237.109288
TSLA,2023-08-14 14:12:00+00:00,237.2684,237.68,237.2066,237.465,408405.0,6926.0,237.461967
TSLA,2023-08-14 14:13:00+00:00,237.44,237.7,237.32,237.59,319651.0,5757.0,237.529927
TSLA,2023-08-14 14:14:00+00:00,237.6025,238.15,237.5401,237.965,615465.0,9718.0,237.902406
TSLA,2023-08-14 14:15:00+00:00,237.97,238.0,237.67,237.695,247308.0,7042.0,237.835897
TSLA,2023-08-14 14:16:00+00:00,237.69,237.78,237.32,237.68,388046.0,8416.0,237.563674
TSLA,2023-08-14 14:17:00+00:00,237.69,237.94,237.53,237.82,319612.0,6335.0,237.768461
TSLA,2023-08-14 14:18:00+00:00,237.8,238.24,237.72,237.85,419669.0,8301.0,237.979306
TSLA,2023-08-14 14:19:00+00:00,237.8598,237.9125,237.57,237.72,235528.0,6207.0,237.735781
TSLA,2023-08-14 14:20:00+00:00,237.686,238.1988,237.35,238.1407,509160.0,9351.0,237.845641
TSLA,2023-08-14 14:21:00+00:00,238.14,238.7099,237.9901,238.6155,561609.0,9086.0,238.399198
TSLA,2023-08-14 14:22:00+00:00,238.62,238.74,238.3,238.5405,334909.0,6424.0,238.511349
TSLA,2023-08-14 14:23:00+00:00,238.53,238.6399,238.37,238.39,251084.0,6284.0,238.451295
TSLA,2023-08-14 14:24:00+00:00,238.37,238.7749,238.17,238.17,386478.0,7361.0,238.521607
TSLA,2023-08-14 14:25:00+00:00,238.18,238.96,238.17,238.87,333690.0,6446.0,238.601509
TSLA,2023-08-14 14:26:00+00:00,238.88,238.89,238.47,238.54,278857.0,6081.0,238.68314
TSLA,2023-08-14 14:27:00+00:00,238.5201,238.62,238.33,238.4,219432.0,5048.0,238.474513
TSLA,2023-08-14 14:28:00+00:00,238.37,238.5999,237.9701,238.0,385442.0,7044.0,238.24815
TSLA,2023-08-14 14:29:00+00:00,237.99,238.0101,237.71,238.0101,295095.0,6719.0,237.867297
TSLA,2023-08-14 14:30:00+00:00,238.02,238.2,237.82,238.0,286681.0,5790.0,238.022423
TSLA,2023-08-14 14:31:00+00:00,238.0,238.3,237.74,237.8099,288343.0,5758.0,237.975635
TSLA,2023-08-14 14:32:00+00:00,237.81,238.19,237.51,238.165,299925.0,6446.0,237.811636
TSLA,2023-08-14 14:33:00+00:00,238.1743,238.42,238.05,238.0501,306118.0,6254.0,238.232511
TSLA,2023-08-14 14:34:00+00:00,238.04,238.51,238.0334,238.425,189073.0,5650.0,238.232272
TSLA,2023-08-14 14:35:00+00:00,238.41,238.77,238.251,238.28,359226.0,6750.0,238.475934
TSLA,2023-08-14 14:36:00+00:00,238.2783,238.66,238.1833,238.5348,199859.0,5077.0,238.406542
TSLA,2023-08-14 14:37:00+00:00,238.57,239.28,238.53,239.17,447921.0,7741.0,238.922391
TSLA,2023-08-14 14:38:00+00:00,239.1701,239.39,239.08,239.24,331862.0,7363.0,239.251471
TSLA,2023-08-14 14:39:00+00:00,239.25,239.33,239.18,239.25,185690.0,5347.0,239.256671
TSLA,2023-08-14 14:40:00+00:00,239.21,239.2699,239.02,239.2199,195576.0,4887.0,239.184689
TSLA,2023-08-14 14:41:00+00:00,239.17,239.3099,238.96,239.28,260659.0,5611.0,239.150869
TSLA,2023-08-14 14:42:00+00:00,239.24,239.5,239.0708,239.4824,332579.0,6681.0,239.319418
TSLA,2023-08-14 14:43:00+00:00,239.48,239.5899,239.1801,239.27,374833.0,7602.0,239.388614
